,ROI1,ROI2,intercept,intcpt.tval,pipe.slope,pipe.tval,age.slope,age.tval,ageXphysio.val,ageXphysio.tval,rtitle
28520,213,215,0.611949556296521,31.4537421410987,0.00865954611900435,0.997828305575434,1.74897227929723,1.24692457596448,1.74897227929723,0.622275199494026,"Left Middle Cingulate Cortex     -  Left Middle Frontal Gyrus       "
28535,213,230,0.388236655672509,16.9889217515954,0.0208532331059648,1.89634356484289,2.09754936569395,1.27315719935691,2.09754936569395,0.920937011955529,"Left Middle Cingulate Cortex     -  Right Putamen                   "
28537,213,232,0.328770397296774,13.5843344331703,0.018872871141289,1.47453292463448,4.00175434751598,2.29348891059359,4.00175434751598,-0.119020665628403,"Left Middle Cingulate Cortex     -  Right Putamen                   "
28546,213,241,0.332896338256495,13.4309282923067,0.0178458575464805,1.5918687921683,0.845663749333387,0.473255083095335,0.845663749333387,2.83192905894676,"Left Middle Cingulate Cortex     -  Right Middle Temporal Gyrus     "
28626,215,230,0.397798899607222,18.0075207761191,0.0235916586900116,2.06758985756022,2.38416839479001,1.49702079901389,2.38416839479001,0.900241535737101,"Left Anterior Cingulate Cortex   -  Right Putamen                   "
28628,215,232,0.303645590692743,11.8543574406519,0.0297752405629141,2.14472696774563,2.42878623986002,1.31522753857665,2.42878623986002,0.022941760912794,"Left Anterior Cingulate Cortex   -  Right Putamen                   "
28637,215,241,0.263788906846119,9.38048823964494,0.0202362524013688,1.65221912528843,2.02644923995774,0.999551569714822,2.02644923995774,-0.0925690430244192,"Left Anterior Cingulate Cortex   -  Right Middle Temporal Gyrus     "
29183,230,232,0.423334731356053,17.9687201899598,0.0391753164340495,3.0986645462261,2.43455622119516,1.43335450009747,2.43455622119516,-0.594228850380603,"Right Putamen                    -  Right Putamen                   "
29192,230,241,0.291517875405722,12.3171909238903,0.0125755383468278,1.03548529815589,2.76775407402228,1.62208848960628,2.76775407402228,-0.20313152925895,"Right Putamen                    -  Right Middle Temporal Gyrus     "
29249,232,241,0.327026083801927,14.8442280752406,-0.00605438290156007,-0.437165001844922,1.26620986545981,0.79722604498963,1.26620986545981,-0.36087190829393,"Left Putamen                     -  Right Middle Temporal Gyrus     "
